0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
100,0.0022,0.0007,0.0009,0.0009,0.0011,0.0013,0.0014,0.0016,0.0018,0.0019,0.0019,0.0022,0.0024,0.0024,0.0026,0.0028,0.0028,0.0029,0.0029
200,0.0016,0.0025,0.0034,0.0042,0.005,0.0059,0.0069,0.0075,0.0086,0.009,0.01,0.0109,0.0119,0.0122,0.0132,0.0141,0.0145,0.0153,0.0162
300,0.0042,0.007,0.009,0.0113,0.0136,0.0156,0.0178,0.0202,0.0226,0.0249,0.0274,0.0296,0.031,0.0348,0.037,0.0387,0.0411,0.0474,0.0515
400,0.0098,0.0163,0.0219,0.024,0.0287,0.0329,0.038,0.0443,0.0551,0.0515,0.0542,0.0587,0.0628,0.0677,0.0701,0.0745,0.0776,0.0827,0.088
500,0.0187,0.0259,0.0312,0.0408,0.0482,0.0545,0.0602,0.0682,0.0792,0.0822,0.0917,0.0971,0.1044,0.1124,0.1186,0.1277,0.1317,0.1438,0.157
600,0.024,0.0362,0.0504,0.0879,0.0702,0.0857,0.0939,0.1001,0.1339,0.1395,0.1348,0.161,0.1781,0.1779,0.187,0.1993,0.2135,0.225,0.2514
700,0.0425,0.0566,0.0714,0.089,0.1067,0.126,0.1624,0.1581,0.1896,0.2286,0.1993,0.1995,0.2136,0.2286,0.2466,0.2575,0.2741,0.331,0.3916
800,0.059,0.0979,0.1271,0.146,0.1344,0.1956,0.1758,0.1932,0.2178,0.2634,0.3217,0.3609,0.293,0.3016,0.3481,0.4849,0.4322,0.4535,0.5151
900,0.072,0.1043,0.1677,0.1826,0.2078,0.2549,0.3337,0.3492,0.3301,0.3711,0.3922,0.418,0.4482,0.531,0.5583,0.5437,0.5743,0.7336,0.7694
1000,0.0978,0.145,0.1888,0.2712,0.2573,0.2903,0.3655,0.3974,0.4047,0.4497,0.5115,0.5442,0.6332,0.7147,0.7894,0.8591,0.8354,0.8048,0.862
